theme_code,theme,short,dirname
1,Food and Agriculture,f,food
2,Health and Nutrition,h,health
3,Energy,e,energy
4,Industrial Applications/Radiation technology,i,industrial
5,Water and the Environment,w,water
6,Safety and Security,s,safety
